book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
The Handmaid's Tale,Margaret Atwood,Paperback,978315741188,311 ,4.09,944897
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Paperback,978315741189,339 ,4.3,207674
My Sister's Keeper,Jodi Picoult,Paperback,978315741190,423 ,4.06,955234
One Flew Over the Cuckoo's Nest,Ken Kesey,Mass Market Paperback,978315741191,325 ,4.19,543387
The Bell Jar,Sylvia Plath|Reinhard Kaiser,Paperback,978315741192,244 ,3.99,491544
Outlander,Diana Gabaldon,Mass Market Paperback,978315741193,850 ,4.22,668422
The Girl with the Dragon Tattoo,Stieg Larsson|Reg Keeland,Hardcover,978315741194,465 ,4.13,2182830
Rebecca,Daphne du Maurier,ebook,978315741195,449 ,4.21,366815
A Tree Grows in Brooklyn,Betty  Smith,Paperback,978315741196,496 ,4.25,333330
Matilda,Roald Dahl|Quentin Blake,Paperback,978315741197,240 ,4.29,497665
The Color Purple,Alice Walker,Paperback,978315741198,295 ,4.18,440592
The Fellowship of the Ring,J.R.R. Tolkien,Paperback,978315741199,398 ,4.35,2021782
Little Women,Louisa May Alcott,Paperback,978315741200,449 ,4.05,1429608
The Road,Cormac McCarthy,Hardcover,978315741201,241 ,3.96,612741
Angela's Ashes,Frank McCourt,Paperback,978315741202,452 ,4.09,466398
A Clockwork Orange,Anthony Burgess,Paperback,978315741203,212 ,3.99,508614
The Brothers Karamazov,Fyodor Dostoyevsky|Richard Pevear|Larissa Volokhonsky,Paperback,978315741204,796 ,4.32,196403
Dune,Frank Herbert,Paperback,978315741205,604 ,4.21,585539
Vampire Academy,Richelle Mead,Paperback,978315741206,332 ,4.13,491540
The Poisonwood Bible,Barbara Kingsolver,Hardcover,978315741207,546 ,4.04,595935
Siddhartha,Hermann Hesse|Hilda Rosner,Mass Market Paperback,978315741208,152 ,4,474735
Atlas Shrugged,Ayn Rand|Leonard Peikoff,Paperback,978315741209,1168 ,3.68,320850
Harry Potter and the Deathly Hallows,J.K. Rowling|Mary GrandPré,Hardcover,978315741210,759 ,4.62,2068269
Don Quixote,Miguel de Cervantes Saavedra|Roberto González Echevarría|John Rutherford|Ernani Ssó,Paperback,978315741211,1023 ,3.86,174044
The Golden Compass,Philip Pullman,Hardcover,978315741212,399 ,3.96,1094029
Fahrenheit 451,Ray Bradbury,Hardcover,978315741213,227 ,3.98,1321751
The Notebook,Nicholas Sparks,Hardcover,978315741214,214 ,4.07,1144696
The Old Man and the Sea,Ernest Hemingway,Hardcover,978315741215,132 ,3.75,661870
Great Expectations,Charles Dickens,Paperback,978315741216,512 ,3.76,562389
The Complete Stories and Poems,Edgar Allan Poe,Hardcover,978315741217,821 ,4.37,170532
A Prayer for Owen Meany,John Irving,Paperback,978315741218,637 ,4.23,262747
Winnie-the-Pooh,A.A. Milne|Ernest H. Shepard,Hardcover,978315741219,145 ,4.34,230710
Anna Karenina,Leo Tolstoy|Richard Pevear|Larissa Volokhonsky,Paperback,978315741220,838 ,4.03,530951
"Moby-Dick or, The Whale",Herman Melville|Andrew Delbanco|Tom Quirk,Paperback,978315741221,720 ,3.48,431320
Interview with the Vampire,Anne Rice,Mass Market Paperback,978315741222,342 ,3.98,428588
1984,George Orwell|Erich Fromm,Mass Market Paperback,978315741223,328 ,4.16,2420816
The Red Tent,Anita Diamant,Hardcover,978315741224,336 ,4.16,470202
The Secret Life of Bees,Sue Monk Kidd,Paperback,978315741225,336 ,4.03,1001343
Harry Potter and the Prisoner of Azkaban,J.K. Rowling|Mary GrandPré,Mass Market Paperback,978315741226,435 ,4.55,2217128
Clockwork Angel,Cassandra Clare,Hardcover,978315741227,481 ,4.33,572963
Middlesex,Jeffrey Eugenides,Paperback,978315741228,529 ,3.99,539113
Great Expectations,Charles Dickens|Marisa Sestino,Paperback,978315741229,505 ,3.76,562389
The Adventures of Tom Sawyer,Mark Twain|Guy Cardwell|John Seelye,Paperback,978315741230,244 ,3.9,657117
The Stranger,Albert Camus|Matthew    Ward,Paperback,978315741231,123 ,3.97,555897
And Then There Were None,Agatha Christie,Paperback,978315741232,264 ,4.25,577459
The Master and Margarita,Mikhail Bulgakov|Katherine Tiernan O'Connor|Ellendea Proffer|Diana Burgin,Paperback,978315741233,373 ,4.31,186919
Charlie and the Chocolate Factory,Roald Dahl|Quentin Blake,Paperback,978315741234,176 ,4.12,553249
Harry Potter and the Goblet of Fire,J.K. Rowling|Mary GrandPré,Paperback,978315741235,734 ,4.54,2077766
The Shining,Stephen King,Paperback,978315741236,447 ,4.19,916982
On the Road,Jack Kerouac,Paperback,978315741237,307 ,3.63,301429
Eragon,Christopher Paolini,Paperback,978315741238,503 ,3.88,1242665
The Very Hungry Caterpillar,Eric Carle,Board book,978315741239,26 ,4.29,338885
Tuesdays with Morrie,Mitch Albom|Saulius Dagys,Paperback,978315741240,210 ,4.08,658091
